Subject,Finetuned_Acc
abstract_algebra,0.45
anatomy,0.5555555555555556
astronomy,0.9666666666666667
business_ethics,0.9
clinical_knowledge,0.7547169811320755
college_biology,0.8571428571428571
college_chemistry,0.6
college_computer_science,0.7
college_mathematics,0.5
college_medicine,0.7058823529411765
college_physics,0.65
computer_security,0.8
conceptual_physics,0.8936170212765957
econometrics,0.8636363636363636
electrical_engineering,0.7931034482758621
elementary_mathematics,0.6133333333333333
formal_logic,0.56
global_facts,0.45
high_school_biology,0.9032258064516129
high_school_chemistry,0.7
high_school_computer_science,0.9
high_school_european_history,0.8787878787878788
high_school_geography,0.8205128205128205
high_school_government_and_politics,0.9473684210526315
high_school_macroeconomics,0.8717948717948718
high_school_mathematics,0.48148148148148145
high_school_microeconomics,0.8936170212765957
high_school_physics,0.5333333333333333
high_school_psychology,0.944954128440367
high_school_statistics,0.7209302325581395
high_school_us_history,0.875
high_school_world_history,0.851063829787234
human_aging,0.75
human_sexuality,0.7692307692307693
international_law,0.875
jurisprudence,0.8095238095238095
logical_fallacies,0.8125
machine_learning,0.6363636363636364
management,0.8
marketing,0.8695652173913043
medical_genetics,0.95
miscellaneous,0.8076923076923077
moral_disputes,0.6956521739130435
moral_scenarios,0.39106145251396646
nutrition,0.8852459016393442
philosophy,0.7903225806451613
prehistory,0.828125
professional_accounting,0.4642857142857143
professional_law,0.5392156862745098
professional_medicine,0.7222222222222222
professional_psychology,0.7622950819672131
public_relations,0.6818181818181818
security_studies,0.7551020408163265
sociology,0.775
us_foreign_policy,0.85
virology,0.5454545454545454
world_religions,0.8529411764705882
